week,date,value
1,9/21/20,10747.47266
2,9/28/20,10771.6416
3,10/5/20,10688.03418
4,10/12/20,11429.04785
5,10/19/20,11495.03809
6,10/26/20,13031.20117
7,11/2/20,13737.03223
8,11/9/20,15479.5957
9,11/16/20,15955.57715
10,11/23/20,18370.01758
11,11/30/20,18178.32227
12,12/7/20,19343.12891
13,12/14/20,19144.49219
14,12/21/20,23474.45508
15,12/28/20,26280.82227
16,1/4/21,32810.94922
17,1/11/21,38346.53125
18,1/18/21,35792.23828
19,1/25/21,32285.79883
20,2/1/21,33114.57813
21,2/8/21,38886.82813
22,2/15/21,48696.53516
23,2/22/21,57532.73828
24,3/1/21,45159.50391
25,3/8/21,51174.11719
26,3/15/21,59267.42969
27,3/22/21,57517.89063